Location ID,coordinates,Location Name,location_code,Soil Type,soil_type_code,annual_rainfall_mm,groundwater_depth_m,population_density,distance_to_river_km,elevation_m,historical _success_rate_%,suitability,approx_project_cost,rocky_terrain,adjusted_project_cost
108,"9.6863, -1.1825",Damongo,3,Sandy,4,1080,11.04023358,468,4.421820556,183,73,1,13081.65,1,16476.86
109,"10.0465, -0.2448",Bolgatanga,1,Sandy,4,646,19.13819529,393,9.586664276,162,74,0,14730.45,0,14730.45
110,"10.0720, -1.2269",Jirapa,4,Loamy,3,1011,21.93877355,181,7.798366076,165,72,0,10295.1,1,12822.62
111,"9.9869, -1.3256",Jirapa,4,Loamy,3,864,21.39759954,478,3.758524518,180,83,0,16006.1,1,20125.75
112,"9.9758, -1.2179",Jirapa,4,Sandy,4,950,22.55144494,375,6.429508396,151,70,1,10747.97,1,14061.86
113,"9.9670, -0.2385",Bolgatanga,1,Loamy,3,906,10.96391048,403,9.498429663,180,66,0,5769.33,0,5769.33
114,"9.8680, -0.2329",Yendi,10,Lateritic,2,1044,16.76173438,474,5.505233107,182,52,0,5836.41,1,7116.38
115,"10.0436, -0.1637",Bolgatanga,1,Clay,1,606,12.35327244,370,3.585719441,190,72,0,13751.19,0,13751.19
116,"9.7737, -0.2309",Yendi,10,Sandy,4,830,22.36383473,372,8.782889321,199,84,0,7804.19,0,7804.19
117,"10.8527, -0.8100",Navrongo,5,Clay,1,1092,15.31785063,287,9.373746782,166,43,0,12651.86,0,12651.86
118,"10.3415, -1.1119",Wa,9,Sandy,4,1082,15.09405173,231,14.49034993,174,55,1,9633.86,0,9633.86
119,"10.7946, -0.8306",Navrongo,5,Sandy,4,1170,12.20681406,371,5.846608304,192,48,1,13350.16,1,19806.13
120,"10.3507, -0.7699",Bongo,2,Clay,1,935,21.91707386,427,13.48287337,195,58,1,11966.68,0,11966.68
121,"9.4677, -0.8211",Tamale,7,Lateritic,2,1146,19.03911964,260,14.74074825,208,90,1,13155.09,1,18947.28
122,"10.3771, -0.7708",Bongo,2,Clay,1,673,21.49537012,184,12.89225496,194,45,0,17882.92,0,17882.92
123,"10.3190, -0.6862",Bongo,2,Clay,1,627,16.97262759,497,7.984366151,207,85,1,8184.48,0,8184.48
124,"10.3806, -0.7127",Bongo,2,Lateritic,2,841,17.07785852,267,8.326919659,202,57,0,14692.22,0,14692.22
125,"9.6434, -1.2441",Damongo,3,Lateritic,2,1050,13.81961337,470,6.721894341,159,86,0,6211.82,1,8055.77
126,"9.3462, -0.7837",Tamale,7,Loamy,3,701,15.38966211,170,11.95667954,203,79,1,16652.7,0,16652.7
127,"9.6993, -1.1433",Damongo,3,Clay,1,768,15.17179866,186,9.057319736,166,45,1,18770.68,0,18770.68
128,"9.1165, -1.0995",Tolon,8,Clay,1,1135,14.95983529,161,3.235797488,171,40,0,9055.76,1,11843.18
129,"10.7885, -0.9396",Navrongo,5,Sandy,4,1047,11.63692541,439,11.23710619,173,42,1,6506.05,0,6506.05
130,"9.6288, -1.2053",Damongo,3,Lateritic,2,904,21.10296946,238,8.482622482,180,75,0,10347.71,1,14382.31
131,"10.8689, -0.7838",Navrongo,5,Loamy,3,1107,12.14101209,204,11.49205726,196,95,1,10128.19,1,14550.35
132,"10.1298, -0.1439",Bolgatanga,1,Clay,1,762,14.43121578,346,6.991928257,152,80,1,6695.58,1,8343.12
133,"10.3272, -0.6539",Bongo,2,Clay,1,953,12.20852329,320,8.5879895,157,40,0,19926.17,0,19926.17
134,"10.0604, -0.3040",Bolgatanga,1,Loamy,3,821,11.77251606,405,6.428952393,155,68,1,16769.48,0,16769.48
135,"9.5441, -1.0092",Savelugu,6,Clay,1,1142,14.10219614,271,8.199565494,181,93,0,12932.54,0,12932.54
136,"9.2175, -0.9801",Tolon,8,Clay,1,1071,11.09826048,218,11.57677905,201,68,1,8369.57,0,8369.57
137,"9.6634, -1.0951",Damongo,3,Lateritic,2,1117,14.33941247,433,12.4866992,163,84,0,14089.02,1,20683.28
138,"9.5175, -1.0326",Savelugu,6,Clay,1,750,23.7426381,462,9.394993888,169,43,1,15340.45,0,15340.45
139,"9.5838, -1.1093",Damongo,3,Clay,1,1087,20.31906533,378,11.79846807,169,66,1,6336.68,1,9266.06
140,"10.3683, -0.7584",Bongo,2,Sandy,4,774,14.59482564,239,9.269735359,152,64,0,15993.86,1,22913.7
141,"10.8404, -0.8250",Navrongo,5,Sandy,4,680,22.95307141,323,8.724389269,188,50,0,15587.61,1,19689.08
142,"10.7683, -0.9249",Navrongo,5,Loamy,3,1103,18.68086403,443,4.332159092,170,82,1,18105.38,0,18105.38
143,"9.6845, -0.9911",Savelugu,6,Sandy,4,811,13.43978796,163,11.29319439,153,90,0,17325.27,0,17325.27
144,"9.5603, -1.2296",Damongo,3,Sandy,4,649,14.8559488,415,5.79707562,168,88,0,19863.41,1,28795.14
145,"9.9329, -0.3420",Yendi,10,Lateritic,2,958,19.19777494,390,11.03355287,151,80,0,13943.99,0,13943.99
146,"10.1264, -1.2055",Jirapa,4,Loamy,3,754,20.35953226,222,13.9683998,193,59,0,8652.37,1,12803.17
147,"9.6696, -1.0921",Damongo,3,Clay,1,1111,11.63303042,204,4.184392721,160,58,0,5547.27,0,5547.27
148,"9.1564, -0.9670",Tolon,8,Clay,1,837,23.78206848,382,4.468083557,185,43,1,16724.14,1,22193.32
149,"9.4876, -1.0599",Savelugu,6,Loamy,3,963,11.25433743,212,7.745211262,199,46,1,10867.83,0,10867.83
150,"9.6146, -1.1344",Damongo,3,Clay,1,813,14.13095346,295,12.12942,189,43,0,17793.93,0,17793.93
151,"10.2538, -1.0674",Wa,9,Lateritic,2,837,12.60754188,483,7.987921625,203,74,1,9454.29,1,12836.73
152,"9.3899, -0.7574",Tamale,7,Loamy,3,805,24.22190789,264,13.28275246,183,65,1,17330.32,1,22795.48
153,"9.9996, -1.2574",Jirapa,4,Sandy,4,985,13.62221289,273,12.17039729,194,61,0,16455.39,0,16455.39
154,"9.4757, -0.8908",Tamale,7,Loamy,3,647,22.60943645,390,6.585063729,178,93,0,6908.98,1,9054.81
155,"9.9833, -0.2753",Bolgatanga,1,Loamy,3,979,11.51896476,230,12.92512033,152,59,0,7639.26,0,7639.26
156,"9.2321, -1.0183",Tolon,8,Sandy,4,844,24.79990133,422,9.181310085,176,46,1,7389.54,1,10163.99
157,"9.5647, -0.9376",Savelugu,6,Sandy,4,641,22.9293012,285,13.95489283,202,62,1,6933.24,0,6933.24
158,"9.1208, -0.9660",Tolon,8,Sandy,4,1065,20.21991415,254,3.617843242,159,85,0,14257.85,1,20733.68
159,"9.0770, -1.0817",Tolon,8,Sandy,4,772,24.5528288,392,8.032351463,171,72,0,12400.26,0,12400.26
160,"9.1799, -1.0759",Tolon,8,Clay,1,1039,13.93182531,352,9.895151824,173,43,1,9066.22,0,9066.22
161,"9.5761, -1.0471",Savelugu,6,Clay,1,668,12.96374253,343,3.236583318,203,74,1,12676.45,1,17498.38
162,"9.7244, -1.1910",Damongo,3,Clay,1,735,14.37363678,150,8.356264423,202,40,1,12117.24,0,12117.24
163,"10.7339, -0.7749",Navrongo,5,Sandy,4,714,23.28803495,246,7.642234196,184,90,1,13666.55,0,13666.55
164,"9.1537, -1.1133",Tolon,8,Clay,1,621,23.91781514,456,9.811238726,176,46,0,9508.73,0,9508.73
165,"9.6735, -1.1934",Damongo,3,Lateritic,2,1132,19.63088319,409,11.97123503,182,78,0,18968.33,0,18968.33
166,"10.3689, -1.1407",Wa,9,Sandy,4,635,16.04188723,473,13.20915772,169,83,0,13611.63,1,20168.62
167,"9.9939, -1.3357",Jirapa,4,Lateritic,2,1190,19.69171251,188,7.956832806,204,72,0,9567.52,0,9567.52
168,"9.3113, -0.8260",Tamale,7,Clay,1,1196,23.23436641,417,7.939153714,180,64,0,12808.34,0,12808.34
169,"9.6688, -1.1224",Damongo,3,Sandy,4,795,19.97482637,173,9.876607782,178,46,1,6584.52,1,8685.9
170,"9.5412, -0.9425",Savelugu,6,Clay,1,1074,13.97971171,173,13.20366579,195,45,0,13297.5,0,13297.5
171,"10.8405, -0.8758",Navrongo,5,Clay,1,927,13.80508099,428,11.42122875,205,79,1,14665.5,1,19427.17
172,"10.2693, -0.7555",Bongo,2,Lateritic,2,807,17.65847356,229,6.156028311,164,90,1,17000.47,0,17000.47
173,"9.5682, -0.8794",Savelugu,6,Sandy,4,735,11.08159166,395,7.336948326,189,80,1,5710.92,1,8044.81
174,"10.3153, -0.7183",Bongo,2,Sandy,4,702,15.91681565,317,12.91778567,172,84,0,15482.02,0,15482.02
175,"9.5596, -1.0173",Savelugu,6,Sandy,4,853,21.60446591,474,6.827596106,155,87,0,11340.6,0,11340.6
176,"9.9459, -0.3636",Yendi,10,Clay,1,610,16.13402835,359,14.02747116,185,45,0,19511.25,0,19511.25
177,"9.5739, -1.0604",Savelugu,6,Clay,1,669,10.75859804,343,14.70515006,185,46,1,10513.76,0,10513.76
178,"10.3921, -0.6257",Bongo,2,Sandy,4,1025,16.95011493,462,14.44076215,177,65,0,12633.34,0,12633.34
179,"10.0649, -1.3249",Jirapa,4,Sandy,4,857,20.10577425,464,10.74440144,159,47,1,13547.73,1,19075.76
180,"10.0623, -0.2916",Bolgatanga,1,Lateritic,2,1126,23.895335,403,8.019735955,172,84,0,9840.34,0,9840.34
181,"10.1270, -1.3914",Jirapa,4,Lateritic,2,693,12.55785743,371,5.461622691,160,82,1,15450.06,1,19895.38
182,"10.0100, -0.1478",Bolgatanga,1,Sandy,4,1177,12.10555133,494,5.936479793,188,87,0,17466.31,1,21387.01
183,"9.3656, -0.8838",Tamale,7,Loamy,3,842,19.30429854,240,7.818352289,202,67,1,13560.73,1,19950.21
184,"10.3157, -1.1350",Wa,9,Clay,1,861,19.84306279,267,11.25205598,196,72,0,5794.16,0,5794.16
185,"10.0184, -0.3100",Bolgatanga,1,Clay,1,832,10.39740584,216,5.850593649,206,55,0,6931.11,1,9385.69
186,"9.6653, -0.8675",Savelugu,6,Clay,1,695,11.08415637,351,4.129016473,167,95,0,14043.19,0,14043.19
187,"9.5661, -1.2412",Damongo,3,Loamy,3,612,24.26390449,368,8.939514821,205,79,1,18434.55,0,18434.55
188,"9.6001, -1.1941",Damongo,3,Clay,1,600,10.73266868,241,13.66982556,184,56,1,14283.14,1,21187.66
189,"9.4671, -0.8653",Tamale,7,Lateritic,2,1046,18.76490776,451,3.488932203,186,40,0,12428.21,1,17789.95
190,"10.8201, -0.8837",Navrongo,5,Sandy,4,602,15.03221443,499,9.275827929,164,58,0,16199.09,0,16199.09
191,"10.3725, -0.7856",Bongo,2,Sandy,4,877,14.02591155,311,8.457588608,206,77,1,5020.2,0,5020.2
192,"9.3643, -0.8021",Tamale,7,Clay,1,642,11.22767843,179,8.668454592,195,68,0,7604.43,1,9512.98
193,"9.7811, -0.2607",Yendi,10,Lateritic,2,742,15.1059851,337,12.32857448,195,40,1,12193.53,0,12193.53
194,"9.1662, -1.1138",Tolon,8,Clay,1,867,20.55965162,359,6.885013421,205,63,1,11362.89,1,16865.63
195,"10.0786, -0.2819",Bolgatanga,1,Lateritic,2,1002,15.76566277,500,3.980732242,168,45,1,16157.09,0,16157.09
196,"10.0879, -1.2751",Jirapa,4,Sandy,4,693,22.80650608,423,7.143178303,185,45,0,15776.05,0,15776.05
197,"10.8330, -0.9499",Navrongo,5,Clay,1,704,18.98154041,489,9.344410093,204,95,1,16334.41,1,21820.79
198,"10.3347, -0.7506",Bongo,2,Lateritic,2,825,10.70154675,448,6.129202053,210,52,1,14152.61,1,18786.18
199,"10.3880, -1.1432",Wa,9,Clay,1,922,10.29020409,309,3.36950128,195,52,1,14728.9,1,17969.59
200,"9.8611, -0.3030",Yendi,10,Loamy,3,764,22.83373621,246,7.109103477,155,95,1,16374.03,1,21832.45
201,"10.0105, -0.3279",Bolgatanga,1,Sandy,4,1063,22.51335559,328,3.29801433,167,51,0,12781.71,1,18004.3
202,"9.6208, -0.9983",Savelugu,6,Sandy,4,993,20.10806823,176,6.899855906,200,60,0,10032.64,1,13644.06
203,"9.9141, -0.3284",Yendi,10,Loamy,3,653,10.93364013,213,12.42796797,179,82,1,11456.92,1,17157.63
204,"10.7631, -0.8678",Navrongo,5,Lateritic,2,928,10.69425488,197,4.082955051,208,77,0,5200.96,1,6262.29
205,"9.5526, -1.1469",Damongo,3,Lateritic,2,1095,19.75153692,235,13.70357029,208,95,0,9830.52,0,9830.52
206,"9.1389, -1.1129",Tolon,8,Loamy,3,674,20.13239558,303,13.99813243,154,61,1,11617.05,0,11617.05
207,"10.4437, -0.6711",Bongo,2,Clay,1,610,17.4576065,156,7.985470226,190,85,0,11774.22,1,15561.47
208,"9.3932, -0.8932",Tamale,7,Loamy,3,1069,20.3697755,433,12.65956639,175,82,1,18446.89,1,24366.41
209,"9.8277, -0.2759",Yendi,10,Clay,1,700,10.9532837,277,3.854407418,173,65,0,15199.79,0,15199.79
210,"9.8698, -0.3114",Yendi,10,Lateritic,2,996,12.56280579,289,5.900488925,187,71,0,19394.51,0,19394.51
211,"10.7838, -0.9427",Navrongo,5,Sandy,4,1082,20.83359887,489,7.112842126,152,47,1,5994.41,0,5994.41
212,"9.2244, -1.0700",Tolon,8,Clay,1,1019,23.29707619,242,13.817615,201,55,0,8311.7,0,8311.7
213,"9.7772, -0.2813",Yendi,10,Clay,1,891,18.87349565,428,5.467524209,170,66,1,16670.01,1,21999.31
214,"9.8499, -0.2071",Yendi,10,Sandy,4,982,10.20264208,215,14.95198525,159,87,1,9412.18,1,11563.47
215,"10.0932, -1.3746",Jirapa,4,Sandy,4,622,10.04352568,367,4.496325629,160,45,0,11989.77,1,16196.76
216,"9.0876, -1.0188",Tolon,8,Lateritic,2,751,20.5478137,403,12.83082982,153,42,0,10384.62,1,12566.92
217,"10.6992, -0.8015",Navrongo,5,Clay,1,867,15.79945015,472,7.692407146,165,85,0,10953.14,1,14998.81
218,"10.8139, -0.9026",Navrongo,5,Loamy,3,1082,18.74912622,189,4.283314825,189,71,0,14150.66,0,14150.66
219,"10.7183, -0.8709",Navrongo,5,Loamy,3,857,17.06828834,291,12.12408113,177,53,0,8188.81,0,8188.81
